species,lambda0_ang,sigma_lambda0_ang,q_cm-1,sigma_q_cm-1,lambda0_source,join_flag,nist_wavelength_ang,lower_level,upper_level,Aki_s-1,fik,q_cm1,line_id,lambda0_unc_ang
Fe V,1429.4691,0.004,1730,,Hu2021_table,OK,1429.472,3d3.(2G).4s 3G J=3,3d3.(2G).4p 3G* J=3,3600000000.0,0.16,1730,line_0231,0.004
Fe V,1430.313,0.004,2449,,Hu2021_table,OK,1430.309,3d3.(2F).4s 1F J=3,3d3.(2F).4p 1D* J=2,3200000000.0,0.14,2449,line_0232,0.004
Fe V,1430.573,0.004,3207,,Hu2021_table,OK,1430.573,3d3.(4F).4s 5F J=5,3d3.(4F).4p 5G* J=6,11000000000.0,0.32,3207,line_0233,0.004
Fe V,1430.7552,0.004,2037,,Hu2021_table,OK,1430.751,3d3.(2D2).4s 3D J=3,3d3.(4P).4p 3D* J=3,1800000000.0,0.077,2037,line_0234,0.004
Fe V,1431.8875,0.004,1062,,Hu2021_table,OK,1431.891,3d3.(4P).4s 5P J=3,3d3.(4P).4p 3P* J=2,160000000.0,0.0072,1062,line_0235,0.004
Fe V,1435.0474,0.004,1505,,Hu2021_table,OK,1435.046,3d3.(2G).4s 3G J=4,3d3.(2G).4p 3G* J=3,1500000000.0,0.05,1505,line_0236,0.004
Fe V,1440.529,0.004,2780,,Hu2021_table,OK,1440.528,3d3.(4F).4s 5F J=4,3d3.(4F).4p 5G* J=5,7900000000.0,0.273,2780,line_0237,0.004
Fe V,1440.7939,0.004,2674,,Hu2021_table,OK,1440.792,3d3.(4P).4s 5P J=1,3d3.(4P).4p 5P* J=2,1600000000.0,0.16,2674,line_0238,0.004
Fe V,1442.2167,0.004,2897,,Hu2021_table,OK,1442.221,3d3.(2G).4s 1G J=4,3d3.(2G).4p 1H* J=5,7200000000.0,0.25,2897,line_0239,0.004
Fe V,1443.1662,0.004,2368,,Hu2021_table,OK,1443.163,3d3.(2D2).4s 1D J=2,3d3.(2D2).4p 3D* J=3,390000000.0,0.025,2368,line_0240,0.004
Fe V,1446.286,0.004,1297,,Hu2021_table,OK,1446.285,3d3.(2P).4s 3P J=1,3d3.(2P).4p 3D* J=1,357000000.0,0.037,1297,line_0241,0.004
Fe V,1447.7045,0.004,3201,,Hu2021_table,OK,1447.709,3d3.(2P).4s 3P J=1,3d3.(2D2).4p 3P* J=2,480000000.0,0.05,3201,line_0242,0.004
Fe V,1448.8487,0.004,2406,,Hu2021_table,OK,1448.846,3d3.(4F).4s 5F J=3,3d3.(4F).4p 5G* J=4,5700000000.0,0.26,2406,line_0243,0.004
Fe V,1449.929,0.004,2535,,Hu2021_table,OK,1449.928,3d3.(2F).4s 3F J=4,3d3.(2F).4p 3F* J=4,7100000000.0,0.25,2535,line_0244,0.004
Fe V,1451.102,0.004,2103,,Hu2021_table,OK,1451.103,3d3.(4P).4s 5P J=1,3d3.(4P).4p 5P* J=1,540000000.0,0.058,2103,line_0245,0.004
Fe V,1451.266,0.004,1997,,Hu2021_table,OK,1451.264,3d3.(2D1).4s 3D J=2,3d3.(2D1).4p 3D* J=1,780000000.0,0.049,1997,line_0246,0.004
Fe V,1453.616,0.004,1667,,Hu2021_table,OK,1453.618,3d3.(2H).4s 1H J=5,3d3.(2H).4p 1H* J=5,6700000000.0,0.19,1667,line_0247,0.004
Fe V,1454.241,0.004,1880,,Hu2021_table,OK,1454.243,3d3.(2D1).4s 3D J=1,3d3.(2D1).4p 3D* J=1,1600000000.0,0.17,1880,line_0248,0.004
Fe V,1454.47,0.004,2372,,Hu2021_table,OK,1454.471,3d3.(2F).4s 3F J=3,3d3.(2F).4p 3F* J=4,33000000.0,0.0015,2372,line_0249,0.004
Fe V,1454.702,0.004,2016,,Hu2021_table,OK,1454.701,3d3.(4F).4s 5F J=5,3d3.(4F).4p 5G* J=5,1450000000.0,0.042,2016,line_0250,0.004
Fe V,1455.557,0.004,2598,,Hu2021_table,OK,1455.559,3d3.(4F).4s 3F J=2,3d3.(4F).4p 3G* J=3,5100000000.0,0.33,2598,line_0251,0.004
Fe V,1455.712,0.004,2133,,Hu2021_table,OK,1455.707,3d3.(2H).4s 3H J=4,3d3.(2P).4p 3D* J=3,,,2133,line_0252,0.004
Fe V,1456.1622,0.004,2067,,Hu2021_table,OK,1456.161,3d3.(4F).4s 5F J=2,3d3.(4F).4p 5G* J=3,4100000000.0,0.26,2067,line_0253,0.004
Fe V,1456.289,0.004,1894,,Hu2021_table,OK,1456.285,3d3.(4P).4s 5P J=2,3d3.(4P).4p 5P* J=1,1900000000.0,0.122,1894,line_0254,0.004
Fe V,1459.256,0.004,2088,,Hu2021_table,OK,1459.254,3d3.(2F).4s 3F J=3,3d3.(2F).4p 3F* J=3,4600000000.0,0.21,2088,line_0255,0.004
Fe V,1459.833,0.004,2416,,Hu2021_table,OK,1459.831,3d3.(4F).4s 3F J=3,3d3.(4F).4p 3G* J=4,6600000000.0,0.3,2416,line_0256,0.004
Fe V,1460.7298,0.004,1771,,Hu2021_table,OK,1460.726,3d3.(4F).4s 5F J=4,3d3.(4F).4p 5G* J=4,1800000000.0,0.063,1771,line_0257,0.004
Fe V,1461.054,0.004,2033,,Hu2021_table,OK,1461.05,3d3.(2F).4s 3F J=3,3d3.(2F).4p 3F* J=2,650000000.0,0.029,2033,line_0258,0.004
Fe V,1462.5641,0.004,2067,,Hu2021_table,OK,1462.563,3d3.(2D2).4s 3D J=3,3d3.(2P).4p 3D* J=2,,,2067,line_0259,0.004
Fe V,1462.635,0.004,1750,,Hu2021_table,OK,1462.631,3d3.(4F).4s 5F J=1,3d3.(4F).4p 5G* J=2,3000000000.0,0.32,1750,line_0260,0.004
Fe V,1463.065,0.004,1941,,Hu2021_table,OK,1463.067,3d3.(2F).4s 3F J=2,3d3.(2F).4p 3F* J=3,74200000.0,0.0048,1941,line_0261,0.004
Fe V,1464.2202,0.004,851,,Hu2021_table,OK,1464.224,3d3.(4P).4s 3P J=2,3d3.(2P).4p 3P* J=1,110000000.0,0.0073,851,line_0262,0.004
Fe V,1464.685,0.004,2232,,Hu2021_table,OK,1464.683,3d3.(4F).4s 3F J=4,3d3.(4F).4p 3G* J=5,7900000000.0,0.282,2232,line_0263,0.004
Fe V,1464.873,0.004,1886,,Hu2021_table,OK,1464.876,3d3.(2F).4s 3F J=2,3d3.(2F).4p 3F* J=2,3200000000.0,0.2,1886,line_0264,0.004
Fe V,1466.6498,0.004,2212,,Hu2021_table,OK,1466.649,3d3.(2G).4s 3G J=4,3d3.(2G).4p 3H* J=5,5400000000.0,0.19,2212,line_0265,0.004
Fe V,1468.908,0.004,1420,,Hu2021_table,OK,1468.911,3d3.(4F).4s 5F J=2,3d3.(4F).4p 5G* J=2,1000000000.0,0.064,1420,line_0266,0.004
Fe V,1469.0,0.004,2431,,Hu2021_table,OK,1469.0,3d3.(2H).4s 3H J=6,3d3.(2H).4p 3H* J=6,7900000000.0,0.196,2431,line_0267,0.004
Fe V,1469.5986,0.004,3313,,Hu2021_table,OK,1469.599,3d3.(2P).4s 3P J=2,3d3.(2G).4p 1F* J=3,200000000.0,0.013,3313,line_0268,0.004
Fe V,1471.2059,0.004,1774,,Hu2021_table,OK,1471.205,3d3.(2D2).4s 3D J=1,3d3.(2P).4p 3D* J=1,220000000.0,0.024,1774,line_0269,0.004
Fe V,1471.334,0.004,1754,,Hu2021_table,OK,1471.331,3d3.(4F).4s 3F J=3,3d3.(4F).4p 3G* J=3,250000000.0,0.0116,1754,line_0270,0.004
Fe V,1472.098,0.004,2264,,Hu2021_table,OK,1472.098,3d3.(2H).4s 3H J=5,3d3.(2H).4p 3H* J=5,6500000000.0,0.19,2264,line_0271,0.004
Fe V,1472.5116,0.004,2576,,Hu2021_table,OK,1472.512,3d3.(2H).4s 3H J=4,3d3.(2H).4p 3H* J=4,5400000000.0,0.2,2576,line_0272,0.004
Fe V,1472.805,0.004,2349,,Hu2021_table,OK,1472.805,3d3.(2P).4s 3P J=2,3d3.(4P).4p 5S* J=2,400000000.0,0.026,2349,line_0273,0.004
Fe V,1474.2722,0.004,3111,,Hu2021_table,OK,1474.275,3d3.(2H).4s 3H J=5,3d3.(2H).4p 3H* J=4,500000000.0,0.015,3111,line_0274,0.004
Fe V,1475.305,0.004,1007,,Hu2021_table,OK,1475.302,3d3.(4F).4s 5F J=5,3d3.(4F).4p 5G* J=4,67000000.0,0.002,1007,line_0275,0.004
Fe V,1475.6059,0.004,1800,,Hu2021_table,OK,1475.604,3d3.(2G).4s 3G J=5,3d3.(2G).4p 3H* J=5,1800000000.0,0.052,1800,line_0276,0.004
Fe V,1477.534,0.004,938,,Hu2021_table,OK,1477.536,3d3.(4F).4s 5F J=4,3d3.(4F).4p 5G* J=3,98000000.0,0.0037,938,line_0277,0.004
Fe V,1477.7992,0.004,2048,,Hu2021_table,OK,1477.798,3d3.(2H).4s 3H J=6,3d3.(2H).4p 3H* J=5,550000000.0,0.014,2048,line_0278,0.004
Fe V,1478.287,0.004,926,,Hu2021_table,OK,1478.288,3d3.(4F).4s 5F J=3,3d3.(4F).4p 5G* J=2,80000000.0,0.0036,926,line_0279,0.004
Fe V,1478.785,0.004,2037,,Hu2021_table,OK,1478.785,3d3.(2P).4s 3P J=1,3d3.(2P).4p 3P* J=0,710000000.0,0.078,2037,line_0280,0.004
Fe V,1479.39,0.004,1410,,Hu2021_table,OK,1479.388,3d3.(4F).4s 3F J=4,3d3.(4F).4p 3G* J=4,190000000.0,0.0068,1410,line_0281,0.004
Fe V,1483.2574,0.004,1555,,Hu2021_table,OK,1483.259,3d3.(2P).4s 3P J=2,3d3.(2P).4p 3P* J=1,1700000000.0,0.112,1555,line_0282,0.004
Fe V,1484.212,0.004,1587,,Hu2021_table,OK,1484.209,3d3.(2P).4s 1P J=1,3d3.(4P).4p 3D* J=2,360000000.0,0.04,1587,line_0283,0.004
Fe V,1484.375,0.004,1535,,Hu2021_table,OK,1484.372,3d3.(2P).4s 1P J=1,3d3.(4P).4p 3D* J=1,30000000.0,0.0031,1535,line_0284,0.004
Fe V,1485.4533,0.004,1418,,Hu2021_table,OK,1485.45,3d3.(2G).4s 3G J=4,3d3.(2G).4p 3H* J=4,1100000000.0,0.04,1418,line_0285,0.004
Fe V,1485.9263,0.004,3092,,Hu2021_table,OK,1485.927,3d3.(2G).4s 1G J=4,3d3.(2G).4p 3F* J=3,160000000.0,0.0059,3092,line_0286,0.004
Fe V,1494.6412,0.004,1006,,Hu2021_table,OK,1494.639,3d3.(2G).4s 3G J=5,3d3.(2G).4p 3H* J=4,49000000.0,0.0015,1006,line_0287,0.004
Fe V,1495.615,0.004,2270,,Hu2021_table,OK,1495.616,3d3.(2H).4s 1H J=5,3d3.(2H).4p 3I* J=6,200000000.0,0.0059,2270,line_0288,0.004
Fe V,1496.2648,0.004,2416,,Hu2021_table,OK,1496.266,3d3.(2G).4s 1G J=4,3d3.(2G).4p 3F* J=4,2500000000.0,0.095,2416,line_0289,0.004
Fe V,1499.2326,0.004,1684,,Hu2021_table,OK,1499.233,3d3.(2P).4s 1P J=1,3d3.(2P).4p 3S* J=1,36900000.0,0.0041,1684,line_0290,0.004
Fe V,1500.5822,0.004,2706,,Hu2021_table,OK,1500.581,3d3.(2D2).4s 3D J=1,3d3.(4P).4p 5S* J=2,90000000.0,0.0099,2706,line_0291,0.004
Fe V,1504.3315,0.004,1318,,Hu2021_table,OK,1504.329,3d3.(2P).4s 1P J=1,3d3.(2D2).4p 1P* J=1,390000000.0,0.043,1318,line_0292,0.004
Fe V,1504.848,0.004,2514,,Hu2021_table,OK,1504.848,3d3.(2D2).4s 3D J=1,3d3.(2P).4p 3P* J=0,30000000.0,0.0034,2514,line_0293,0.004
Fe V,1508.1512,0.004,2801,,Hu2021_table,OK,1508.153,3d3.(2P).4s 3P J=2,3d3.(2G).4p 3F* J=3,220000000.0,0.015,2801,line_0294,0.004
Fe V,1509.7897,0.004,2230,,Hu2021_table,OK,1509.792,3d3.(2D2).4s 1D J=2,3d3.(4P).4p 3D* J=1,230000000.0,0.016,2230,line_0295,0.004
Fe V,1511.434,0.004,1912,,Hu2021_table,OK,1511.429,3d3.(2D2).4s 3D J=1,3d3.(2P).4p 3P* J=1,210000000.0,0.024,1912,line_0296,0.004
Fe V,1514.8306,0.004,3085,,Hu2021_table,OK,1514.834,3d3.(2P).4s 3P J=2,3d3.(2G).4p 3F* J=2,160000000.0,0.0112,3085,line_0297,0.004
Fe V,1515.5359,0.004,3306,,Hu2021_table,OK,1515.533,3d3.(4F).4s 3F J=2,3d3.(4F).4p 3D* J=3,41000000.0,0.0029,3306,line_0298,0.004
Fe V,1516.7993,0.004,2965,,Hu2021_table,OK,1516.804,3d3.(2P).4s 3P J=1,3d3.(2G).4p 3F* J=2,240000000.0,0.028,2965,line_0299,0.004
Fe V,1519.5178,0.004,2044,,Hu2021_table,OK,1519.519,3d3.(2D2).4s 1D J=2,3d3.(4P).4p 3D* J=3,98000000.0,0.0068,2044,line_0300,0.004
Fe V,1525.1631,0.004,2379,,Hu2021_table,OK,1525.165,3d3.(2D2).4s 1D J=2,3d3.(2P).4p 3S* J=1,72000000.0,0.005,2379,line_0301,0.004
Fe V,1530.4401,0.004,2013,,Hu2021_table,OK,1530.439,3d3.(2D2).4s 1D J=2,3d3.(2D2).4p 1P* J=1,1300000000.0,0.091,2013,line_0302,0.004
Fe V,1532.3289,0.004,1900,,Hu2021_table,OK,1532.33,3d3.(2G).4s 1G J=4,3d3.(2G).4p 3G* J=3,340000000.0,0.013,1900,line_0303,0.004
Fe V,1535.0382,0.004,905,,Hu2021_table,OK,1535.034,3d3.(4P).4s 3P J=2,3d3.(2G).4p 3G* J=3,,,905,line_0304,0.004
Fe V,1543.234,0.004,2774,,Hu2021_table,OK,1543.234,3d3.(4F).4s 3F J=2,3d3.(4F).4p 5F* J=1,900000000.0,0.065,2774,line_0305,0.004
Fe V,1554.218,0.004,1456,,Hu2021_table,OK,1554.219,3d3.(4F).4s 3F J=4,3d3.(4F).4p 3D* J=3,3200000000.0,0.127,1456,line_0306,0.004
Fe V,1555.4456,0.004,2074,,Hu2021_table,OK,1555.442,3d3.(2D2).4s 1D J=2,3d3.(2P).4p 3D* J=2,310000000.0,0.022,2074,line_0307,0.004
Fe V,1557.0542,0.004,3764,,Hu2021_table,OK,1557.051,3d3.(4P).4s 3P J=0,3d3.(4P).4p 3P* J=1,260000000.0,0.095,3764,line_0308,0.004
Fe V,1557.31,0.004,2299,,Hu2021_table,OK,1557.311,3d3.(4F).4s 3F J=4,3d3.(4F).4p 5F* J=5,310000000.0,0.0124,2299,line_0309,0.004
Fe V,1557.6467,0.004,1901,,Hu2021_table,OK,1557.645,3d3.(2P).4s 1P J=1,3d3.(2D2).4p 3P* J=2,160000000.0,0.019,1901,line_0310,0.004
Fe V,1563.7745,0.004,3510,,Hu2021_table,OK,1563.778,3d3.(4P).4s 3P J=1,3d3.(4P).4p 3P* J=1,180000000.0,0.022,3510,line_0311,0.004
Fe V,1569.981,0.004,2684,,Hu2021_table,OK,1569.985,3d3.(4F).4s 3F J=2,3d3.(4F).4p 5D* J=1,93000000.0,0.0069,2684,line_0312,0.004
Fe V,1571.91,0.004,2522,,Hu2021_table,OK,1571.91,3d3.(4P).4s 3P J=1,3d3.(4P).4p 5D* J=0,250000000.0,0.031,2522,line_0313,0.004
Fe V,1576.2143,0.004,2545,,Hu2021_table,OK,1576.212,3d3.(4F).4s 3F J=3,3d3.(4F).4p 5F* J=2,180000000.0,0.0093,2545,line_0314,0.004
Fe V,1582.7979,0.004,2521,,Hu2021_table,OK,1582.802,3d3.(2H).4s 3H J=5,3d3.(2G).4p 3G* J=5,100000000.0,0.0036,2521,line_0315,0.004
Fe V,1583.9544,0.004,692,,Hu2021_table,OK,1583.958,3d3.(2D2).4s 1D J=2,3d3.(2P).4p 3D* J=1,33000000.0,0.0024,692,line_0316,0.004
Fe V,1584.5342,0.004,1997,,Hu2021_table,OK,1584.53,3d3.(4P).4s 3P J=2,3d3.(4P).4p 5D* J=2,650000000.0,0.048,1997,line_0317,0.004
Fe V,1585.656,0.004,2596,,Hu2021_table,OK,1585.655,3d3.(2D2).4s 1D J=2,3d3.(2D2).4p 3P* J=2,200000000.0,0.015,2596,line_0318,0.004
Fe V,1588.197,0.004,1740,,Hu2021_table,OK,1588.199,3d3.(2D2).4s 3D J=3,3d3.(2G).4p 3G* J=4,80000000.0,0.0046,1740,line_0319,0.004
Fe V,1588.9028,0.004,929,,Hu2021_table,OK,1588.906,3d3.(2P).4s 1P J=1,3d3.(4P).4p 5S* J=2,360000000.0,0.046,929,line_0320,0.004
Fe V,1589.011,0.004,1717,,Hu2021_table,OK,1589.013,3d3.(4F).4s 3F J=2,3d3.(4F).4p 5D* J=2,160000000.0,0.0123,1717,line_0321,0.004
Fe V,1589.3908,0.004,2305,,Hu2021_table,OK,1589.39,3d3.(2H).4s 3H J=6,3d3.(2G).4p 3G* J=5,250000000.0,0.0074,2305,line_0322,0.004
Fe V,1589.9376,0.004,1813,,Hu2021_table,OK,1589.941,3d3.(2G).4s 1G J=4,3d3.(2G).4p 3H* J=4,20000000.0,0.00082,1813,line_0323,0.004
Fe V,1593.7032,0.004,1636,,Hu2021_table,OK,1593.708,3d3.(4F).4s 3F J=3,3d3.(4F).4p 5D* J=3,120000000.0,0.0065,1636,line_0324,0.004
Fe V,1596.3679,0.004,2044,,Hu2021_table,OK,1596.365,3d3.(2H).4s 3H J=5,3d3.(2G).4p 3G* J=4,180000000.0,0.0061,2044,line_0325,0.004
Fe V,1598.824,0.004,1157,,Hu2021_table,OK,1598.824,3d3.(4F).4s 3F J=2,3d3.(4F).4p 3D* J=1,780000000.0,0.061,1157,line_0326,0.004
Fe V,1599.84,0.004,1485,,Hu2021_table,OK,1599.842,3d3.(4F).4s 3F J=4,3d3.(4F).4p 5D* J=4,38000000.0,0.0016,1485,line_0327,0.004
Fe V,1606.6786,0.004,3211,,Hu2021_table,OK,1606.675,3d3.(2P).4s 3P J=2,3d3.(4P).4p 3P* J=1,51000000.0,0.0039,3211,line_0328,0.004
Fe V,1607.833,0.004,873,,Hu2021_table,OK,1607.83,3d3.(4F).4s 3F J=3,3d3.(4F).4p 5D* J=2,650000000.0,0.037,873,line_0329,0.004
Fe V,1614.1888,0.004,2588,,Hu2021_table,OK,1614.186,3d3.(2D2).4s 1D J=2,3d3.(2G).4p 1F* J=3,460000000.0,0.036,2588,line_0330,0.004
Fe V,1617.04,0.004,630,,Hu2021_table,OK,1617.039,3d3.(4F).4s 3F J=4,3d3.(4F).4p 5D* J=3,380000000.0,0.016,630,line_0331,0.004
Fe V,1618.058,0.004,1624,,Hu2021_table,OK,1618.057,3d3.(2D2).4s 1D J=2,3d3.(4P).4p 5S* J=2,160000000.0,0.013,1624,line_0332,0.004
Fe V,1618.379,0.004,3209,,Hu2021_table,OK,1618.383,3d3.(2H).4s 3H J=5,3d3.(2G).4p 3H* J=6,46000000.0,0.0016,3209,line_0333,0.004
Fe V,1620.0873,0.004,931,,Hu2021_table,OK,1620.087,3d3.(4P).4s 3P J=2,3d3.(4P).4p 3P* J=2,1200000000.0,0.093,931,line_0334,0.004
Fe V,1624.255,0.004,2023,,Hu2021_table,OK,1624.251,3d3.(2H).4s 1H J=5,3d3.(2G).4p 1H* J=5,1330000000.0,0.048,2023,line_0335,0.004
Fe V,1630.8433,0.004,2641,,Hu2021_table,OK,1630.841,3d3.(4P).4s 3P J=1,3d3.(4P).4p 5P* J=2,30000000.0,0.0037,2641,line_0336,0.004
Fe V,1639.7918,0.004,3568,,Hu2021_table,OK,1639.794,3d3.(2D2).4s 3D J=1,3d3.(4P).4p 3P* J=1,25000000.0,0.0033,3568,line_0337,0.004
Fe V,1643.4256,0.004,1635,,Hu2021_table,OK,1643.427,3d3.(2P).4s 3P J=2,3d3.(4P).4p 3P* J=2,14000000.0,0.00113,1635,line_0338,0.004
Fe V,1645.743,0.004,1515,,Hu2021_table,OK,1645.742,3d3.(2P).4s 3P J=1,3d3.(4P).4p 3P* J=2,75000000.0,0.01,1515,line_0339,0.004
Fe V,1648.74,0.004,2580,,Hu2021_table,OK,1648.743,3d3.(2D2).4s 3D J=1,3d3.(4P).4p 5D* J=0,42000000.0,0.0057,2580,line_0340,0.004
Fe V,1651.9301,0.004,1129,,Hu2021_table,OK,1651.927,3d3.(2P).4s 3P J=1,3d3.(4P).4p 5D* J=1,48000000.0,0.0066,1129,line_0341,0.004
Fe V,1652.528,0.004,1353,,Hu2021_table,OK,1652.531,3d3.(2H).4s 3H J=4,3d3.(2G).4p 3H* J=5,46000000.0,0.0021,1353,line_0342,0.004
Fe V,1654.7456,0.004,1888,,Hu2021_table,OK,1654.744,3d3.(2H).4s 3H J=5,3d3.(2G).4p 3H* J=5,1100000000.0,0.04,1888,line_0343,0.004
Fe V,1659.894,0.004,1870,,Hu2021_table,OK,1659.897,3d3.(4F).4s 3F J=3,3d3.(4F).4p 5G* J=4,50000000.0,0.0029,1870,line_0344,0.004
Fe V,1660.5473,0.004,1969,,Hu2021_table,OK,1660.551,3d3.(2D2).4s 3D J=3,3d3.(4P).4p 5D* J=2,85000000.0,0.0051,1969,line_0345,0.004
Fe V,1661.049,0.004,1881,,Hu2021_table,OK,1661.048,3d3.(4F).4s 3F J=2,3d3.(4F).4p 5G* J=3,27000000.0,0.0022,1881,line_0346,0.004
Fe V,1662.738,0.004,793,,Hu2021_table,OK,1662.742,3d3.(2P).4s 3P J=1,3d3.(4P).4p 3P* J=0,16000000.0,0.0023,793,line_0347,0.004
Fe V,1668.925,0.004,2360,,Hu2021_table,OK,1668.926,3d3.(2D2).4s 1D J=2,3d3.(2G).4p 3F* J=2,60000000.0,0.0048,2360,line_0348,0.004
Fe V,1676.438,0.007,559,,Hu2021_table,OK,1676.441,3d3.(2H).4s 3H J=4,3d3.(2G).4p 3H* J=4,750000000.0,0.035,559,line_0349,0.007
Fe V,1699.6353,0.004,903,,Hu2021_table,OK,1699.636,3d3.(2D2).4s 3D J=3,3d3.(4P).4p 3P* J=2,140000000.0,0.0086,903,line_0350,0.004
