species,wavelength_aa,wavelength_unc_aa,q_cm1,wavenumber_cm1,q_unc_cm1,lower_level,upper_level,line_id
Ni V,1167.102,0.005,2415,85682.31397084401,,3d5.(4G).4s 5G J=2,3d5.(4D).4p 5F* J=1,Ni V_1167.1020
Ni V,1182.606,0.005,2791,84559.01627422827,,3d5.(4P).4s 5P J=1,3d5.(4D).4p 5D* J=2,Ni V_1182.6060
Ni V,1185.944,0.005,3588,84321.01347112512,,3d5.(4P).4s 5P J=2,3d5.(4D).4p 5D* J=3,Ni V_1185.9440
Ni V,1195.189,0.002,3065,83668.77539870262,,3d5.(2G2).4s 1G J=4,3d5.(2F2).4p 3G* J=5,Ni V_1195.1890
Ni V,1198.519,0.002,3739,83436.30764301609,,3d5.(2F2).4s 3F J=4,3d5.(2F2).4p 3G* J=5,Ni V_1198.5190
Ni V,1202.034,0.005,3605,83192.32234695523,,3d5.(2F2).4s 3F J=3,3d5.(2F2).4p 3G* J=4,Ni V_1202.0340
Ni V,1204.727,0.002,2833,83006.35745691761,,3d5.(4F).4s 3F J=4,3d5.(2G2).4p 1H* J=5,Ni V_1204.7270
Ni V,1233.324,0.013,1995,81081.69467228401,,3d5.(4G).4s 5G J=3,3d5.(4G).4p 5F* J=2,Ni V_1233.3240
Ni V,1234.397,0.002,2256,81011.21438240696,,3d5.(4G).4s 5G J=2,3d5.(4G).4p 5F* J=1,Ni V_1234.3970
Ni V,1234.584,0.002,3628,80998.9437737732,,3d5.(2D2).4s 3D J=3,3d5.(2D2).4p 3D* J=3,Ni V_1234.5840
Ni V,1235.838,0.002,3429,80916.75446134526,,3d5.(2I).4s 1I J=6,3d5.(4F).4p 5G* J=6,Ni V_1235.8380
Ni V,1237.205,0.002,2590,80827.34874172026,,3d5.(4D).4s 5D J=2,3d5.(4D).4p 5D* J=1,Ni V_1237.2050
Ni V,1241.333,0.005,2656,80558.56083742235,,3d5.(4F).4s 5F J=3,3d5.(4F).4p 5F* J=2,Ni V_1241.3330
Ni V,1241.64,0.002,3610,80538.64244064302,,3d5.(2I).4s 3I J=5,3d5.(2I).4p 3H* J=4,Ni V_1241.6400
Ni V,1241.988,0.002,2687,80516.07583970216,,3d5.(4F).4s 5F J=5,3d5.(4F).4p 5F* J=4,Ni V_1241.9880
Ni V,1243.504,0.002,2377,80417.91582495916,,3d5.(4D).4s 5D J=3,3d5.(4D).4p 5D* J=2,Ni V_1243.5040
Ni V,1244.026,0.005,2597,80384.17203498962,,3d5.(4D).4s 5D J=4,3d5.(4D).4p 5D* J=3,Ni V_1244.0260
Ni V,1244.788,0.004,3512,80334.96466868254,,3d5.(2I).4s 3I J=6,3d5.(2I).4p 1K* J=7,Ni V_1244.7880
Ni V,1246.365,0.005,3457,80233.31849016942,,3d5.(2D3).4s 3D J=2,3d5.(4F).4p 5G* J=3,Ni V_1246.3650
Ni V,1246.549,0.005,2296,80221.47544942076,,3d5.(4D).4s 3D J=2,3d5.(4D).4p 3P* J=1,Ni V_1246.5490
Ni V,1247.612,0.022,2707,80153.12452910039,,3d5.(4F).4s 3F J=3,3d5.(4F).4p 3F* J=3,Ni V_1247.6120
Ni V,1249.532,0.002,2831,80029.9632182289,,3d5.(4G).4s 5G J=5,3d5.(4G).4p 5F* J=4,Ni V_1249.5320
Ni V,1251.835,0.002,3583,79882.73214920497,,3d5.(4G).4s 3G J=5,3d5.(4G).4p 3G* J=5,Ni V_1251.8350
Ni V,1252.075,0.005,2727,79867.42008266278,,3d5.(2D3).4s 3D J=1,3d5.(4F).4p 5G* J=2,Ni V_1252.0750
Ni V,1252.281,0.004,3105,79854.28190637725,,3d5.(2I).4s 3I J=6,3d5.(2I).4p 3H* J=6,Ni V_1252.2810
Ni V,1253.663,0.004,3570,79766.25297229,,3d5.(4G).4s 3G J=4,3d5.(4G).4p 3G* J=4,Ni V_1253.6630
Ni V,1254.197,0.002,4221,79732.29086020778,,3d5.(2F1).4s 1F J=3,3d5.(2F1).4p 1D* J=2,Ni V_1254.1970
Ni V,1254.866,0.005,2171,79689.78361036158,,3d5.(2G2).4s 1G J=4,3d5.(2G2).4p 1F* J=3,Ni V_1254.8660
Ni V,1256.222,0.004,3042,79603.76430280635,,3d5.(4G).4s 5G J=2,3d5.(4P).4p 5D* J=1,Ni V_1256.2220
Ni V,1256.916,0.002,3531,79559.81147507073,,3d5.(2G1).4s 1G J=4,3d5.(2G1).4p 1G* J=4,Ni V_1256.9160
Ni V,1257.637,0.004,3765,79514.20004341476,,3d5.(4G).4s 5G J=5,3d5.(4G).4p 5H* J=6,Ni V_1257.6370
Ni V,1258.024,0.002,3088,79489.73946442993,,3d5.(4F).4s 3F J=4,3d5.(4F).4p 3F* J=4,Ni V_1258.0240
Ni V,1259.592,0.004,3728,79390.7868579667,,3d5.(2I).4s 3I J=5,3d5.(2I).4p 1H* J=5,Ni V_1259.5920
Ni V,1259.727,0.004,2197,79382.27885883211,,3d5.(4F).4s 5F J=5,3d5.(4F).4p 5G* J=5,Ni V_1259.7270
Ni V,1261.118,0.005,3038,79294.72103324193,,3d5.(4P).4s 5P J=3,3d5.(4P).4p 5P* J=2,Ni V_1261.1180
Ni V,1261.341,0.005,3353,79280.70204647277,,3d5.(2F1).4s 3F J=4,3d5.(2F1).4p 3G* J=5,Ni V_1261.3410
Ni V,1261.437,0.005,3533,79274.66849315504,,3d5.(2G1).4s 1G J=4,3d5.(2G1).4p 1H* J=5,Ni V_1261.4370
Ni V,1261.758,0.004,3254,79254.50046680901,,3d5.(4D).4s 5D J=4,3d5.(4D).4p 5F* J=5,Ni V_1261.7580
Ni V,1262.739,0.005,3915,79192.9290217535,,3d5.(2D2).4s 3D J=1,3d5.(2D2).4p 3F* J=2,Ni V_1262.7390
Ni V,1264.264,0.005,1955,79097.40370682074,,3d5.(2F1).4s 3F J=2,3d5.(4F).4p 5F* J=2,Ni V_1264.2640
Ni V,1264.755,0.005,2678,79066.69671201141,,3d5.(4F).4s 3F J=3,3d5.(4F).4p 3D* J=2,Ni V_1264.7550
Ni V,1265.667,0.005,3779,79009.72372669906,,3d5.(2H).4s 3H J=6,3d5.(2H).4p 3I* J=7,Ni V_1265.6670
Ni V,1265.876,0.002,3068,78996.6789796157,,3d5.(4G).4s 5G J=5,3d5.(4G).4p 5H* J=5,Ni V_1265.8760
Ni V,1266.403,0.004,3127,78963.80536053689,,3d5.(4G).4s 5G J=4,3d5.(4G).4p 5H* J=5,Ni V_1266.4030
Ni V,1268.182,0.002,1979,78853.03528988741,,3d5.(2G1).4s 3G J=5,3d5.(2G1).4p 3H* J=5,Ni V_1268.1820
Ni V,1268.883,0.002,1935,78809.47258336663,,3d5.(2G1).4s 3G J=4,3d5.(2G1).4p 3H* J=5,Ni V_1268.8830
Ni V,1269.384,0.005,4191,78778.36809034934,,3d5.(2H).4s 3H J=5,3d5.(2H).4p 3I* J=6,Ni V_1269.3840
Ni V,1270.205,0.002,3220,78727.44950618208,,3d5.(2G2).4s 3G J=3,3d5.(2G2).4p 3F* J=2,Ni V_1270.2050
Ni V,1273.817,0.004,4084,78504.21214350256,,3d5.(4P).4s 5P J=2,3d5.(4P).4p 5P* J=3,Ni V_1273.8170
Ni V,1274.263,0.002,2380,78476.73517947238,,3d5.(4F).4s 5F J=2,3d5.(4F).4p 5G* J=3,Ni V_1274.2630
Ni V,1276.431,0.002,3368,78343.44355472407,,3d5.(4D).4s 5D J=3,3d5.(4D).4p 5F* J=4,Ni V_1276.4310
Ni V,1276.632,0.005,4042,78331.10872984541,,3d5.(2G1).4s 3G J=4,3d5.(2G1).4p 3H* J=4,Ni V_1276.6320
Ni V,1278.872,0.004,2862,78193.90838176143,,3d5.(2G2).4s 3G J=5,3d5.(2G2).4p 3F* J=4,Ni V_1278.8720
Ni V,1283.186,0.005,2667,77931.02480856245,,3d5.(2G2).4s 1G J=4,3d5.(2G2).4p 3G* J=5,Ni V_1283.1860
Ni V,1284.475,0.005,2751,77852.81924521692,,3d5.(4D).4s 5D J=2,3d5.(4D).4p 5F* J=3,Ni V_1284.4750
Ni V,1287.571,0.002,5009,77665.61999299457,,3d5.(2D3).4s 3D J=3,3d5.(2D3).4p 3F* J=4,Ni V_1287.5710
Ni V,1287.807,0.005,2642,77651.38720320669,,3d5.(4D).4s 5D J=1,3d5.(4D).4p 5F* J=2,Ni V_1287.8070
Ni V,1290.397,0.002,2290,77495.53044528158,,3d5.(4D).4s 5D J=2,3d5.(4D).4p 5F* J=2,Ni V_1290.3970
Ni V,1298.732,0.002,3419,76998.1797630304,,3d5.(2G2).4s 3G J=5,3d5.(2H).4p 3I* J=6,Ni V_1298.7320
Ni V,1300.981,0.002,3504,76865.07335618275,,3d5.(6S).4s 5S J=2,3d5.(6S).4p 5P* J=1,Ni V_1300.9810
Ni V,1307.599,0.002,1384,76476.04502603627,,3d5.(6S).4s 5S J=2,3d5.(6S).4p 5P* J=2,Ni V_1307.5990
Ni V,1311.557,0.002,3747,76245.25659197428,,3d5.(2H).4s 3H J=5,3d5.(2H).4p 3H* J=6,Ni V_1311.5570
Ni V,1313.306,0.002,2056,76143.7166966419,,3d5.(4G).4s 5G J=4,3d5.(4G).4p 5G* J=4,Ni V_1313.3060
Ni V,1315.668,0.002,3216,76007.01696780647,,3d5.(4D).4s 3D J=1,3d5.(4D).4p 3F* J=2,Ni V_1315.6680
Ni V,1317.445,0.002,3366,75904.49696192252,,3d5.(2I).4s 1I J=6,3d5.(2I).4p 1K* J=7,Ni V_1317.4450
Ni V,1318.151,0.002,2903,75863.84260983756,,3d5.(4P).4s 5P J=3,3d5.(4G).4p 5F* J=3,Ni V_1318.1510
Ni V,1318.511,0.002,2643,75843.12910548339,,3d5.(6S).4s 5S J=2,3d5.(6S).4p 5P* J=3,Ni V_1318.5110
Ni V,1319.752,0.005,2949,75771.81167370839,,3d5.(2G2).4s 1G J=4,3d5.(4F).4p 3F* J=4,Ni V_1319.7520
Ni V,1320.715,0.002,2378,75716.5626194902,,3d5.(4D).4s 3D J=3,3d5.(4D).4p 3F* J=4,Ni V_1320.7150
Ni V,1320.901,0.005,2650,75705.90074502176,,3d5.(4P).4s 5P J=2,3d5.(4G).4p 5F* J=3,Ni V_1320.9010
Ni V,1321.251,0.005,2976,75685.8462169565,,3d5.(4P).4s 5P J=3,3d5.(4P).4p 5D* J=2,Ni V_1321.2510
Ni V,1325.094,0.008,2439,75466.34427444392,,3d5.(2F2).4s 1F J=3,3d5.(2F2).4p 1D* J=2,Ni V_1325.0940
Ni V,1333.964,0.002,3464,74964.54177174196,,3d5.(2I).4s 1I J=6,3d5.(2I).4p 1H* J=5,Ni V_1333.9640
Ni V,1336.16,0.002,2944,74841.33636690216,,3d5.(4G).4s 3G J=5,3d5.(4G).4p 3H* J=6,Ni V_1336.1600
Ni V,1339.065,0.01,3308,74678.97376154257,,3d5.(4D).4s 3D J=1,3d5.(4D).4p 3D* J=2,Ni V_1339.0650
Ni V,1340.353,0.002,3092,74607.21168229563,,3d5.(4D).4s 3D J=2,3d5.(4D).4p 3D* J=2,Ni V_1340.3530
Ni V,1341.068,0.002,3093,74567.43431354711,,3d5.(4D).4s 5D J=4,3d5.(4P).4p 5P* J=3,Ni V_1341.0680
Ni V,1342.18,0.002,3283,74505.65497921292,,3d5.(4G).4s 3G J=5,3d5.(4G).4p 3F* J=4,Ni V_1342.1800
Ni V,1343.896,0.002,3758,74410.51986165596,,3d5.(2H).4s 3H J=4,3d5.(2G2).4p 3H* J=4,Ni V_1343.8960
Ni V,1351.414,0.002,2187,73996.5695190371,,3d5.(4G).4s 3G J=3,3d5.(4G).4p 3F* J=2,Ni V_1351.4140
Ni V,1390.917,0.006,3877,71895.01602180433,,3d5.(4P).4s 3P J=2,3d5.(4P).4p 3P* J=2,Ni V_1390.9170
